Topic,Thread ID,Post ID,User ID,Time,Post Content
abortion_as_rights_or_choices,409192893_1100030352001,1,IHAWKER,Fri 11 June 2010 02:46 AM," Bill includes amendment to allow abortions at overseas bases   WASHINGTON   A Senate provision to allow abortions at overseas military bases could set up an election year fight between abortion rights supporters and conservative lawmakers who have thwarted the measure for years.  Senate Republicans threatened to block the full defense authorization bill when it comes up for a vote later this month after the abortion provision was attached in the chamber s Armed Services Committee mark-up.  Under the amendment, female servicemembers and military dependents stationed overseas would have access to abortions, provided they pay for the procedure themselves and medical personnel on base are willing to perform it. No military doctors would be required to perform abortions if they object to the practice.  In a statement, amendment sponsor Sen. Roland Burris, D-Ill., framed the issue as one of basic fairness for the tens of thousands of female troops and family members stationed outside the United States.   It is critical that we provide the highest quality care for our service members while they are serving our nation overseas, and that includes allowing women and their families the right to choose at facilities operated under the Department of Defense,  he said.  Under current law, physicians at overseas bases can perform abortions only when the mother s life is in danger, or in cases of rape or incest. In the latter two, women still must pay for the procedure themselves.  In recent years, similar proposals to allow overseas abortions have been offered in the House and Senate as part of the annual budget bills, but failed before they could become law. The issue was not broached in the House this year, and House Armed Services Committee Chairman Ike Skelton, D-Mo., restated his public opposition to a change in the policy.  The American Civil Liberties Union and NARAL Pro-Choice America both backed Burris  plan. In a statement earlier this month, Sen. Roger Wicker, R-Miss., called the abortion amendment  a moral failure of this Congress  and promised to fight to remove the provision.   Since the mid-1990s, attempts to change this law have been rejected repeatedly,  he said.  Regardless of their views on whether abortion is ever justified, the vast majority of Americans agree that taxpayer dollars should not subsidize such controversial procedures.   Both the House and Senate versions of the defense authorization bill already include repeal language for the military s  don t ask, don t tell  law, a controversial move that Republicans in both chambers predicted could jeopardize passage of the final bill. Twenty-six House Democrats voted against the  don t ask, don t tell  provision, but the full measure passed by a 229-186 margin.  The Senate is expected to vote later this month on the authorization bill, which includes the abortion provision, and a conference committee will work on differences between the House and Senate versions throughout the summer.  From The Stars and Stripes "
abortion_as_rights_or_choices,409192893_1100030352001,2,Yooper_tj,Fri 11 June 2010 07:55 AM, Roger Wicker of Mississippi...now there&apos;s a surprise...  Third highest in the nation in pregnancies among 15-19 year olds...highest in the nation in live births among 15-19 year olds...and dead last in the nation in median household income---ten percent below the next state.  I guess you just can&apos;t buy morality.
abortion_as_rights_or_choices,409192893_1100030352001,3,Cider33_Alpha,Fri 11 June 2010 11:32 AM,"It&apos;s about damned time!  Why do military women serving overseas have to be subjected to second-class (or lower) health care than their civilian counterparts in the US?  I think it&apos;s offensive that they would have to pay for it themselves to begin with.  I agree that providers (doctors, nurse) should have the option to refuse to perform an abortion if they object, but the women themselves have absolutely every right to all the healthcare benefits available to their civilian counterparts in CONUS! "
abortion_as_rights_or_choices,409192893_1100030352001,4,IHAWKER,Fri 11 June 2010 12:31 PM,"Cider, I fully agree. "
abortion_as_rights_or_choices,409192893_1100030352001,5,PinkBlossoms,Fri 11 June 2010 02:35 PM,"Oh yes, the liberals celebrate killing the innocent unborn while they fight tooth and nail for the trash on death row.  And the seals.    Humans, no.    Sickening!!  GARBAGE!"
abortion_as_rights_or_choices,409192893_1100030352001,6,Cider33_Alpha,Fri 11 June 2010 03:13 PM,"Don&apos;t ASSUME, PB.  You should know by now my positions on this and some other hot-button issues, including the death penalty (FYI: PRO).  Those of us who are pro-choice when it comes to an individual woman&apos;s right to choose what is done to HER body are not necessarily for or against other positions held so holy to the Right side of the American political spectrum. "
abortion_as_rights_or_choices,409192893_1100030352001,7,cosmicfish,Fri 11 June 2010 03:22 PM,"REPLYING TO Cider33_Alpha WHO SAID: <u>&quot; Don&apos;t ASSUME, PB.  You should know by now my positions on this and some other hot-button issues, including the death penalty (FYI: PRO).  Those of us who are pro-choice when it comes to an individual woman&apos;s right to choose what is done to HER body are not necessarily for or against other positions held so holy to the Right side of the American political spectrum.&quot;</u>  I agree - I&apos;m pro-choice, but my problems with the death penalty are related to process (time until execution, scrutiny of evidence, etc.) rather than the concept itself.  If anything, I think the death penalty is UNDERused. "
abortion_as_rights_or_choices,409192893_1100030352001,8,GunnyZak,Fri 11 June 2010 03:30 PM,"Once they &amp;quot;de-sex&amp;quot; the military &amp; commence strict enforcement of the new strigent regs, any female finding herself knocked up after being confined to a military base may find herself under charges. "
abortion_as_rights_or_choices,409192893_1100030352001,9,Cider33_Alpha,Fri 11 June 2010 03:49 PM,"Please (oh God, PLEASE) define &amp;quot;desex.&amp;quot;  And what are these new &amp;quot;stringent regs&amp;quot; to which you refer?  Inquiring minds want and need to know! "
abortion_as_rights_or_choices,409192893_1100030352001,10,Ex_CG_GM,Fri 11 June 2010 04:03 PM,"  Hmm, that just may   off her husband that is serving on the same base.....     The particular proposal I think you are referring to was pulled off the table right after it was suggested. "
abortion_as_rights_or_choices,409192893_1100030352001,11,GunnyZak,Fri 11 June 2010 04:12 PM,"REPLYING TO Cider33_Alpha WHO SAID: <u>&quot; Please (oh God, PLEASE) define &amp;quot;desex.&amp;quot;  And what are these new &amp;quot;stringent regs&amp;quot; to which you refer?  Inquiring minds want and need to know!&quot;</u>   I&apos;m sure you&apos;re not that much of a geritol you can&apos;t figure it out. Think way back to all those officer romps in the BOQ&apos;s. "
