user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
MariaCespedesc,"#VotoDeConfianza 
La @FrepapBancada consecuente con su discurso, votó en contra del Voto de Confianza al… https://t.co/U5ZLFxIban",covid-19,1290657735005081600,2020-08-04 14:35:57,1,,MariaCespedesc
TEXRA2,"@MariaCespedesc @FrepapBancada Después de decepcionar al país dando el voto de confianza al gabinete zevallos, esta vez se reivindicaron,  tomaron conciencia de la realidad del país...",covid-19,1291056034081959937,2020-08-05 16:58:39,2,MariaCespedesc,TEXRA2
TEXRA2,"@MariaCespedesc @FrepapBancada Que la red criminal los mermeleros, que tiene como cabecillas @alvarezrodrich y @rmapalacios no te engañen... esta es la verdad de por qué se negó el voto de confianza. https://t.co/P9eiiapmeb https://t.co/hfvhdKJG9Y",covid-19,1291054828198731777,2020-08-05 16:53:52,3,MariaCespedesc,TEXRA2
vivefash,@MariaCespedesc @FrepapBancada Que Dios y sus conciencias y el pueblo los juzguen.,covid-19,1291018425456889858,2020-08-05 14:29:13,4,MariaCespedesc,vivefash
Jose99092853,"@MariaCespedesc @FrepapBancada Hasta el momento él FREPAP está dando la hora.
Sigan así",covid-19,1290996791618437120,2020-08-05 13:03:15,5,MariaCespedesc,Jose99092853
Barbayerba,@MariaCespedesc @FrepapBancada Que pena que se unieron a lo peor del congreso en este momento tan difícil.,covid-19,1290986371419643904,2020-08-05 12:21:50,6,MariaCespedesc,Barbayerba
RossaFlor1,"@MariaCespedesc @FrepapBancada ¿Representando al pueblo peruano?
Si fuera así, habría dado el voto de confianza.
 ¿Ustedes son parte de la mafia del Congreso que negoció la salida del Ministro de educación o sólo fueron los tontos útiles...?",covid-19,1290983490293506050,2020-08-05 12:10:24,7,MariaCespedesc,RossaFlor1
Yosoyelkarma2,"@MariaCespedesc @FrepapBancada No sra. de ninguna manera ud. puede decir REPRESETANDO AL PUEBLO PERUANO!
Ël pueblo peruano NO QUIERE QUE EL PAIS SE PARALICE, el pueblo peruano quiere que se continue con la lucha de la PANDEMIA no que se saque a la ministra. #IrresponsablesAventureros",covid-19,1290977021259112448,2020-08-05 11:44:41,8,MariaCespedesc,Yosoyelkarma2
BorgRoch,"@MariaCespedesc @FrepapBancada Ya fueron, señora.",covid-19,1290972503549054977,2020-08-05 11:26:44,9,MariaCespedesc,BorgRoch
ARREGLARELPERU,@MariaCespedesc @FrepapBancada SOLO CON HONESTOS ARREGLAMOS EL PERU,covid-19,1290957971963498503,2020-08-05 10:29:00,10,MariaCespedesc,ARREGLARELPERU
Sobrevi30272146,"@MariaCespedesc @FrepapBancada Así que el pueblo peruano pidió tener una crisis política, dejarnos sin ministros.... En fin.",covid-19,1290920572390715394,2020-08-05 08:00:23,11,MariaCespedesc,Sobrevi30272146
Quique2473,@MariaCespedesc @FrepapBancada No se dan cuenta que fueron los tontos útiles de los representantes de la universidades bamba.,covid-19,1290853820365524992,2020-08-05 03:35:08,12,MariaCespedesc,Quique2473
joyabo134,"@MariaCespedesc @FrepapBancada Despidanse del congreso, @FrepapBancada  no volverá el 2021.",covid-19,1290853226556817410,2020-08-05 03:32:46,13,MariaCespedesc,joyabo134
ssmendezz,"@MariaCespedesc @FrepapBancada Y si es un gabinete parecido , seguirán vetándolo hasta el infinito.? Y así, se podrá hacer algo en contra de la pandemia, seguiremos perdiendo tiempo , cuánto más ?",covid-19,1290847865468858371,2020-08-05 03:11:28,14,MariaCespedesc,ssmendezz
JessAra59675056,"@MariaCespedesc @FrepapBancada Es necesario felicitar vuestro esfuerzo y trabajo. Ahora que los grados y títulos académicos están colgados sin valor y  trascendencia, ustedes han representado el clamor del pueblo. No se diga más. Felicitaciones!",covid-19,1290846845594411008,2020-08-05 03:07:25,15,MariaCespedesc,JessAra59675056
Oxyrhopus,"@MariaCespedesc @FrepapBancada Estimada congresista de FREPAP, ya es hora de que fiscalicen a @IndecopiOficial, ya que hay muchos vicios en el proceso concursal de Universitario a favor de Gremco. Imaginese si hacen eso con un club popular, que no harán con pequeñas empresas o con los consumidores?.",covid-19,1290844248389103616,2020-08-05 02:57:06,16,MariaCespedesc,Oxyrhopus
Marco_Diaz80,"@MariaCespedesc @FrepapBancada Sigan así, pronto desaparecerán del mapa político y nunca olviden el papel de tontos útiles que hacen día a dia.",covid-19,1290842102935453696,2020-08-05 02:48:34,17,MariaCespedesc,Marco_Diaz80
mixel2011,@MariaCespedesc @FrepapBancada Si estaban dudando en su voto por lo menos absténganse ESTÁN EN EL MISMO SACO Q LOS PARTIDOS CORRUPTOS,covid-19,1290841529586786304,2020-08-05 02:46:17,18,MariaCespedesc,mixel2011
