user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
MariaCespedesc	🗣️Esperamos que el próximo #GabineteMinisterial el tema prioritario sea la emergencia sanitaria, el fortalecimiento… https://t.co/OPG8vSLbPh	Cuestion-de-confianza	2	2020-08-04 23:55:21	1.29079851031768E+018		MariaCespedesc
Cinthia28259667	@MariaCespedesc @MariaCespedesc siga adelante congresista están haciendo un buen trabajo, que no les importe... la opinión de unos cuantos mermeleros y corruptos del poder que no tienen de otra mas que el ataque por que se les acabo la mamadera. 👏👏👏	Cuestion-de-confianza	2	2020-08-06 13:53:06	1.29137172739881E+018	MariaCespedesc	Cinthia28259667
avasquezln	@MariaCespedesc @juliopasosperu Como recuperas los empleos sin fortalecer a las grandes empresas??, un poco tronado la posición de los jesuitas	Cuestion-de-confianza	2	2020-08-06 01:29:56	1.29118470330802E+018	MariaCespedesc	avasquezln
Andrescence_09	@MariaCespedesc Esperemos que el tema principal para este adefecio de congreso sea la salud y no querer bajarse la reforma universitaria.	Cuestion-de-confianza	2	2020-08-05 22:54:29	1.29114558276187E+018	MariaCespedesc	Andrescence_09
espaciolibre231	@MariaCespedesc pero dejen gobernar...solo son meses	Cuestion-de-confianza	2	2020-08-05 21:33:52	1.29112529305534E+018	MariaCespedesc	espaciolibre231
OmarChero	@MariaCespedesc Sra congresista que propuestas ha hecho llegar al gobierno sobre los temas prioritarios que usted plantea, consulta cuanto percibe el país por la minería y cuanto percibe el país por el agro.	Cuestion-de-confianza	2	2020-08-05 16:30:43	1.2910490027174E+018	MariaCespedesc	OmarChero
Jose99092853	"@MariaCespedesc Bien dicho 
Lucha frontal contra la pandemia"	Cuestion-de-confianza	2	2020-08-05 15:01:23	1.29102652329895E+018	MariaCespedesc	Jose99092853
Torresrghotmai1	@MariaCespedesc Q bestialidad q pena q termine así su carrera política, decir q el discurso de cateriano no discierne esos dos puntos, ya uds. Son cadáveres políticos, se creía q eran la última esperanza 😥	Cuestion-de-confianza	2	2020-08-05 12:58:03	1.29099548360806E+018	MariaCespedesc	Torresrghotmai1
JesusCuevaD	@MariaCespedesc Dime, cuando fue la última vez que fuiste a una mina para que opines que no brinda beneficios? Ni un día, nunca pisaste una mina, solo hablas por lo que lees o escuchas, pero jamas en tu vida pisaste una mina. Debes saber que actualmente se aplican controles muy exhaustivos.	Cuestion-de-confianza	2	2020-08-05 05:15:09	1.29087898955333E+018	MariaCespedesc	JesusCuevaD
MariaCespedesc	@JesusCuevaD Estimado el día domingo 04 de agosto estuve en #Espinar en las afueras de la mina Antapaccay, no me lo contaron, lo vi presencialmente.	Cuestion-de-confianza	2	2020-08-05 12:50:10	1.29099349854873E+018	JesusCuevaD	MariaCespedesc
JesusCuevaD	"@MariaCespedesc Felicito su trabajo. Sin embargo menciona que estuvo ""en las afueras"". Afuera no es lo mismo que ad… https://t.co/rSpkKydn9w"	Cuestion-de-confianza	2	2020-08-05 14:41:38	1.29102155200424E+018	MariaCespedesc	JesusCuevaD
Llaqtaruna2	@MariaCespedesc entiende que en este gabinete que acaba de irse por vuestra irresponsabilidad, la prioridad siempre ha sido la emergencia sanitaria, .... vaya a estudiar !!!	Cuestion-de-confianza	2	2020-08-05 05:07:19	1.29087702098191E+018	MariaCespedesc	Llaqtaruna2
keller_suazo	@MariaCespedesc Sres Congresistas...en sus manos está el futuro de miles de trabajadores de la salud...su estabilidad laboral...!! Vamos por la insistencia...ESSALUD sin CAS..	Cuestion-de-confianza	2	2020-08-05 04:49:46	1.29087260427915E+018	MariaCespedesc	keller_suazo
SergioS36596697	"@MariaCespedesc El próximo Ministro de Economía debe estar de acuerdo con la devolución de fondos a los ex aportantes de la ONP
🙌"	Cuestion-de-confianza	2	2020-08-05 04:33:18	1.2908684601558E+018	MariaCespedesc	SergioS36596697
Cristop_Matthew	@MariaCespedesc Que mal, terminan siendo borregos de los otros partidos, decepcionante... ! En 2021 ya fueron...	Cuestion-de-confianza	2	2020-08-05 04:07:13	1.290861896351E+018	MariaCespedesc	Cristop_Matthew
dario_otorongo	@MariaCespedesc Que raro eso ya lo había planteado al que botaron	Cuestion-de-confianza	2	2020-08-05 03:16:55	1.2908492378493E+018	MariaCespedesc	dario_otorongo
Marco_Diaz80	@MariaCespedesc 😒😒😒	Cuestion-de-confianza	2	2020-08-05 02:55:24	1.29084382009621E+018	MariaCespedesc	Marco_Diaz80
AlcaldeRada	@MariaCespedesc Son una verguenza y le hicieron el favor a los partidos corruptos de Pepe Luna y Cesar Acuña	Cuestion-de-confianza	2	2020-08-05 02:54:12	1.29084352117654E+018	MariaCespedesc	AlcaldeRada
mixel2011	@MariaCespedesc Que descaro, PRIMERO PIDA PERDÓN, yo me uní a este grupo por sus labor pero ahora me estoy arrepintiéndo tengo varias ideas que esperaban compartir ahora solo encontrarán critica	Cuestion-de-confianza	2	2020-08-05 02:44:09	1.29084098895776E+018	MariaCespedesc	mixel2011
quenospasa_1	@MariaCespedesc Se nota. La cagaron ya nuevamente. Un congreso de mierda como el anterior...	Cuestion-de-confianza	2	2020-08-05 01:49:44	1.29082729602735E+018	MariaCespedesc	quenospasa_1
AlejandroTrelle	@MariaCespedesc Ya les di la clave, se necesita ser valientes, eso depende de Uds. Sin Investigación de #dioxidodecloro  no hay Paraíso https://t.co/wf4F6OrdHh	Cuestion-de-confianza	2	2020-08-05 01:46:04	1.29082637447592E+018	MariaCespedesc	AlejandroTrelle
Eduardo89086824	@MariaCespedesc Yo escuché las 20 horas y la ministra  mazzetti fue bien clara y Cateriano ej tema económico  fue más con el desarrollo  minero mire como sube el dólar está  en su nivel máximo eso encarece las cosas cuidado debería contratar a un economista de una universidad licenciada	Cuestion-de-confianza	2	2020-08-05 01:39:07	1.29082462612643E+018	MariaCespedesc	Eduardo89086824
_aboutdiana	@MariaCespedesc Es obvio la prioridad!! Pero no todos los gabinetes pueden hacer las mismas funciones para ello está el trabajo en equipo y la exposición tiene que ser en diferentes materias	Cuestion-de-confianza	2	2020-08-05 01:38:48	1.29082454689183E+018	MariaCespedesc	_aboutdiana
Optima_HD	@MariaCespedesc Felicidades FREPAP defiendan al Pueblo que le agradecerá, es bueno tener personas que lo que dicen lo hacen, sigan así dan esperanza de Peruanos Honestos.	Cuestion-de-confianza	2	2020-08-05 01:25:25	1.29082117671397E+018	MariaCespedesc	Optima_HD
LizzyIrigo	@MariaCespedesc Y Mazetti dq habló ? De tomar dioxido d cloro? Ay señor xq somos así	Cuestion-de-confianza	2	2020-08-05 01:18:58	1.29081955466333E+018	MariaCespedesc	LizzyIrigo
Uber_Martin	@MariaCespedesc Nos vemos el 2026 porque el 2021 se sepultaron solitos	Cuestion-de-confianza	2	2020-08-05 01:18:24	1.29081940917562E+018	MariaCespedesc	Uber_Martin
azrael28	@MariaCespedesc Se prestaron al juego de la mafia son unos impresentables eso es lo que son	Cuestion-de-confianza	2	2020-08-05 00:48:22	1.2908118520296E+018	MariaCespedesc	azrael28
Itzadesign	@MariaCespedesc https://t.co/7bAiPaBQm4	Cuestion-de-confianza	2	2020-08-05 00:36:47	1.29080893603209E+018	MariaCespedesc	Itzadesign
