user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
MariaCespedesc	🗣️Esperamos que el próximo #GabineteMinisterial el tema prioritario sea la emergencia sanitaria, el fortalecimiento… https://t.co/OPG8vSLbPh	covid-19	1290798510317678596	2020-08-04 23:55:21	1		MariaCespedesc
avasquezln	@MariaCespedesc @juliopasosperu Como recuperas los empleos sin fortalecer a las grandes empresas??, un poco tronado la posición de los jesuitas	covid-19	1291184703308017666	2020-08-06 01:29:56	2	MariaCespedesc	avasquezln
Andrescence_09	@MariaCespedesc Esperemos que el tema principal para este adefecio de congreso sea la salud y no querer bajarse la reforma universitaria.	covid-19	1291145582761869312	2020-08-05 22:54:29	3	MariaCespedesc	Andrescence_09
espaciolibre231	@MariaCespedesc pero dejen gobernar...solo son meses	covid-19	1291125293055344643	2020-08-05 21:33:52	4	MariaCespedesc	espaciolibre231
OmarChero	@MariaCespedesc Sra congresista que propuestas ha hecho llegar al gobierno sobre los temas prioritarios que usted plantea, consulta cuanto percibe el país por la minería y cuanto percibe el país por el agro.	covid-19	1291049002717401095	2020-08-05 16:30:43	5	MariaCespedesc	OmarChero
Jose99092853	"@MariaCespedesc Bien dicho 
Lucha frontal contra la pandemia"	covid-19	1291026523298947072	2020-08-05 15:01:23	6	MariaCespedesc	Jose99092853
Torresrghotmai1	@MariaCespedesc Q bestialidad q pena q termine así su carrera política, decir q el discurso de cateriano no discierne esos dos puntos, ya uds. Son cadáveres políticos, se creía q eran la última esperanza 😥	covid-19	1290995483608055808	2020-08-05 12:58:03	7	MariaCespedesc	Torresrghotmai1
JesusCuevaD	@MariaCespedesc Dime, cuando fue la última vez que fuiste a una mina para que opines que no brinda beneficios? Ni un día, nunca pisaste una mina, solo hablas por lo que lees o escuchas, pero jamas en tu vida pisaste una mina. Debes saber que actualmente se aplican controles muy exhaustivos.	covid-19	1290878989553328128	2020-08-05 05:15:09	8	MariaCespedesc	JesusCuevaD
JesusCuevaD	@MariaCespedesc Pero de que reactivación económica hablas si piensas que la mineria es una maldición? de donde crees que sale la plata que repunta el PBI de todo el país. Escribes estupideces, el Frepap no tiene ni idea de lo que es macroeconomia y mucho menos como es una mina.	covid-19	1290878541635231745	2020-08-05 05:13:22	9	MariaCespedesc	JesusCuevaD
Llaqtaruna2	@MariaCespedesc entiende que en este gabinete que acaba de irse por vuestra irresponsabilidad, la prioridad siempre ha sido la emergencia sanitaria, .... vaya a estudiar !!!	covid-19	1290877020981911553	2020-08-05 05:07:19	10	MariaCespedesc	Llaqtaruna2
