user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
MariaCespedesc,"Rechazamos las declaraciones de @PCaterianoB , así como nos oponemos a cualquier acto discriminatorio contra nuestr… https://t.co/sGzOJZP81y",covid-19,1291040818095169536,2020-08-05 15:58:12,1,,MariaCespedesc
Sotasormiguel,"@MariaCespedesc @PCaterianoB @pcmperu Claro está la lucha contra la corrupción, pero lo que no  entendemos qué pasó por su cabeza al negar todo un gabinete que ni siquiera había trabajado.",covid-19,1291219925374242823,2020-08-06 03:49:54,2,MariaCespedesc,Sotasormiguel
JOSEROD57657645,"@MariaCespedesc @PCaterianoB @pcmperu Desde un tiempo se ha normalizado la creencia que para ir al Congreso solo se debe tener buenas intenciones. La.realidad es muy distante, ademas de las buenas intenciones se necesita preparacion para ejercer de forma idonea tan importante labor, s el 1er poder del pais por favor",covid-19,1291219752548028416,2020-08-06 03:49:13,3,MariaCespedesc,JOSEROD57657645
quenospasa_1,"@MariaCespedesc @PCaterianoB @pcmperu DEMUESTRE LO CONTRARIO, EL RECHAZO A LA HOMOSEXUALIDAD ES FUNDAMENTALISMO RELIGIOSO RECARGADO DE INTOLERANCIA...",covid-19,1291218977776173062,2020-08-06 03:46:08,4,MariaCespedesc,quenospasa_1
AgvzQuilcat,"@MariaCespedesc @PCaterianoB Totalmente equivocada usted y su partido creyendo que luchan contra la corrupción, terminaron jugando a favor de los negociantes de la educación y apoyando al infeliz partido de la lampa.",covid-19,1291217746529865729,2020-08-06 03:41:15,5,MariaCespedesc,AgvzQuilcat
lictuslictus,"@MariaCespedesc @PCaterianoB @pcmperu Apoyo tu punto María y entiendo tu posición, pero en la situación más precaria para el país lo han hecho.",covid-19,1291216775045165056,2020-08-06 03:37:23,6,MariaCespedesc,lictuslictus
CHIZOHONORES,"@MariaCespedesc @PCaterianoB @pcmperu Para su libro de experiencias Estimada: No hay ser más discriminador ni odiador que un caviar cuando ve que algún ciudadano se quiere salir del libreto único
Son ellos los que han polarizado a la patria",covid-19,1291215731934277632,2020-08-06 03:33:14,7,MariaCespedesc,CHIZOHONORES
JulioCCH3,"@MariaCespedesc @PCaterianoB @pcmperu Sra. Cespedes, pero si todos los que conocen al Frepap saben que Uds. son una agrupacion fanatica religiosa, igual que otros grupos evangelicos. Quien es su actual lider? Porque los hijos del Sr. Ezequiel Ataucusi se pelean por la fortuna de su padre. Que ejemplo dan",covid-19,1291213129603522560,2020-08-06 03:22:54,8,MariaCespedesc,JulioCCH3
Miguel_fg,"@MariaCespedesc @PCaterianoB @pcmperu Aprovechen su último año en el congreso... fueron un lapsus de la crisis política, pero son más de lo mismo.",covid-19,1291212431428132866,2020-08-06 03:20:07,9,MariaCespedesc,Miguel_fg
Sarecac2,"@MariaCespedesc @PCaterianoB @pcmperu María Teresa Céspedes ya resucitó Ataucusi?uds llegaron al cong gracias al rechazo d los delincuentes dl año pasado,pero restaron ser la misma porquería,uds No me Representan,te quedó claro?!😡",covid-19,1291210177019023366,2020-08-06 03:11:10,10,MariaCespedesc,Sarecac2
kathiavp1,@MariaCespedesc @PCaterianoB @pcmperu Fanática!,covid-19,1291210074527010817,2020-08-06 03:10:45,11,MariaCespedesc,kathiavp1
drfelixmartinez,"@MariaCespedesc @PCaterianoB @pcmperu La religión es importante en las decisiones colectivas, pues tiene que ver con tantos aspectos de la vida como la moralidad, la honestidad, la vida, la familia, el respeto, la libertad,....",covid-19,1291208083318939648,2020-08-06 03:02:51,12,MariaCespedesc,drfelixmartinez
angedelgado,@MariaCespedesc @martinhidalgo @PCaterianoB @pcmperu hoy no necesitamos ver sus enfrentamientos ni como los manipulan para tener más poder y cuidar los beneficios propios de los”líderes del congreso” están quedando pésimo!!! Y de verdad es una vergüenza todo esto. El foco es la pandemia!No sean parte de la corrupción!! Despierten!!,covid-19,1291207971368849408,2020-08-06 03:02:24,13,MariaCespedesc,angedelgado
JesMo12,@MariaCespedesc @PCaterianoB @pcmperu Fanáticos!,covid-19,1291204726135099392,2020-08-06 02:49:30,14,MariaCespedesc,JesMo12
