user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
MariaCespedesc	Creemos en una inversión minera responsable sin abusos y defendemos los intereses de la población, promoviendo la a… https://t.co/H3R3F0giQT	covid-19	1291045535198195712	2020-08-05 16:16:56	1		MariaCespedesc
RubnCanales	"@MariaCespedesc @PCaterianoB Impecable respuesta , de la congresista Maria Céspedes , ante los golpes bajos del ex Premier Cateriano , emisario de los Grupos de Poder.
Nuestra solidaridad con el #Frepap..."	covid-19	1291206690411618306	2020-08-06 02:57:19	2	MariaCespedesc	RubnCanales
SrkTavo89	@MariaCespedesc @PCaterianoB Ojala que eso de inversión  minera responsable se respete, debe apoyarse la agricultura: Si pero también la minería responsable y legal ya que la legalidad, trae estabilidad laboral a los trabajadores.	covid-19	1291203027584593922	2020-08-06 02:42:45	3	MariaCespedesc	SrkTavo89
SANGREBRAVA1	"@MariaCespedesc @PCaterianoB PERO AHORA EL PUEBLO YA LOS CONOCE...
RECUERDO AQUEL PASAJE BÍBLICO QUE DICE:
""POR SUS FRUTOS LOS CONOCERÉIS"" 
Y TAMBIÉN
""CUIDADO CON LOS LOBOS DISFRAZADOS DE CORDERO""

ME DECEPCIONARON LOS HERMANOS DE FREPAP QUE SE OLVIDARON DEL PUEBLO QUE ESTÁ MURIENDO EN LA PANDEMIA..."	covid-19	1291201800406794243	2020-08-06 02:37:53	4	MariaCespedesc	SANGREBRAVA1
Claussil	"@MariaCespedesc @PCaterianoB https://t.co/TfF1BBHbKB 
Estan atacando la casa bomba los manifestantes en Espinar, por favor que paren, es lo que nos abastece agua para las comunidades de Tintaya y Coccareta. Espero que haya podido leer, entiendo las protestas pero esto es vandalismo"	covid-19	1291191420112568321	2020-08-06 01:56:38	5	MariaCespedesc	Claussil
anto5227	@MariaCespedesc @PCaterianoB Respaldamos su apoyo a las comunidades, las mineras tienen leyes muy flexibles que debería darse leyes como en Chile, Cateriano demostró que trabaja para la CONFIEP y no el pueblo. Queda luchar por la educación, hay congresistas con intereses como el señor Luna, no permitan esto.	covid-19	1291190170654564354	2020-08-06 01:51:40	6	MariaCespedesc	anto5227
Erick0460172562	@MariaCespedesc @PCaterianoB Calla analfabeta	covid-19	1291183292478369792	2020-08-06 01:24:20	7	MariaCespedesc	Erick0460172562
Jazzyplus	@MariaCespedesc @PCaterianoB Señora, bien por una mineria responsable pero también necesitamos un enfoque de familia, no solo'la mujer. Nos usan para meter homonio, paridad y alternancia, que merma la libertad de elegir a nuestros representantes. Ni ley de identidad de genero ni aborto. Respeto al bien común	covid-19	1291181099062906880	2020-08-06 01:15:37	8	MariaCespedesc	Jazzyplus
Luiguipesci1	@MariaCespedesc @KarinaNovoaL @PCaterianoB Jajajajaja, como le hacen acordar que su jefecita Nadine era quién le daba ordenes, ahora su íntima Rosa María Palacios está con rabia, quizá ya los ataque al ver estos twitts https://t.co/xx2JLBIe5h	covid-19	1291179156517126147	2020-08-06 01:07:54	9	MariaCespedesc	Luiguipesci1
Eduardo89086824	@MariaCespedesc @PCaterianoB Señora , yo estoy en contra ustedes pero hacen cosas que traen consecuencias estamos en punto más alto del precio del dólar,  le recuerdo que nosotros no fabricamos medinas se importan eso aumenta sus precios y así es solo un ejemplo de miles	covid-19	1291177683641151488	2020-08-06 01:02:03	10	MariaCespedesc	Eduardo89086824
