user-id,text,topic,thread-id,time,post-id,reply-to,reply-by
dw_espanol,"El fatalismo de la OMS  La Organización Mundial de la Salud (OMS) advirtió este lunes que quizás nunca haya una ""so… https://t.co/YeuSBgOYps",covid-19,1,2020-08-04 12:22:00,1290624022456209409,,dw_espanol
jjsejo,@dw_espanol Esa organización son unos malditos cabrónes chinos,covid-19,2,2020-08-04 15:06:19,1290665377144463361,dw_espanol,jjsejo
superior_la,@dw_espanol Con qué pruebas se sustentan,covid-19,3,2020-08-04 14:53:25,1290662129289375744,dw_espanol,superior_la
AddisonGonzale5,@dw_espanol Entonces cual es la pendejada que dicen que tienen una vacuna o es que eso ya no va a servir no se me p… https://t.co/1WlCJMkbMH,covid-19,4,2020-08-04 14:41:43,1290659185236094979,dw_espanol,AddisonGonzale5
abdel_rr,"@dw_espanol ¿Ustedes son parte de la gente que protestó en Berlín el otro día? Que poca seriedad de su parte, a niv… https://t.co/I7LGOsw5Q9",covid-19,5,2020-08-04 14:25:22,1290655071835955200,dw_espanol,abdel_rr
JorgeCambiar,"@dw_espanol organizaciòn mundial del silencio, que se expresen sobre el doctor chino que quiso avisar de esta enfer… https://t.co/alP47hSdg8",covid-19,6,2020-08-04 14:23:44,1290654657040310272,dw_espanol,JorgeCambiar
SandyXavierMac,@dw_espanol https://t.co/9dYZ57h2gC,covid-19,7,2020-08-04 14:12:59,1290651955325526021,dw_espanol,SandyXavierMac
byr2501,@dw_espanol Me llamó la atención precisamente ese fatalismo.,covid-19,8,2020-08-04 14:09:53,1290651173117136896,dw_espanol,byr2501
Libernic1,@dw_espanol Es increíble como se DENIGRO.,covid-19,9,2020-08-04 14:08:57,1290650939322519554,dw_espanol,Libernic1
justinolopez,@dw_espanol Pues si no saben mejor no digan nada por qué justamente no saben...,covid-19,10,2020-08-04 14:08:07,1290650728646807557,dw_espanol,justinolopez
Asfy_Marl,"@dw_espanol OMS dice + o -: vivamos evitando contagios y pasemos 51 años más en cuarentena, mientras alcanzamos la… https://t.co/enlz5a2knH",covid-19,11,2020-08-04 14:02:25,1290649293603377161,dw_espanol,Asfy_Marl
carmentg38,@dw_espanol La OMS es FATAL en más de un sentido...😷🤥,covid-19,12,2020-08-04 13:38:07,1290643180279476225,dw_espanol,carmentg38
stban777,@dw_espanol Este organismo demostró incapacidad...todos los países deberían salir de ahí.,covid-19,13,2020-08-04 13:33:24,1290641990271598598,dw_espanol,stban777
CLNanezF,@dw_espanol ¿Qué puede saber una cuerda de ineptos e incapaces burócratas de una pandemia? NADA. Esos mismos idiota… https://t.co/89FBFyXkao,covid-19,14,2020-08-04 13:30:55,1290641368482807810,dw_espanol,CLNanezF
lg5619426,@dw_espanol 👎👎👎👎,covid-19,15,2020-08-04 13:29:47,1290641082796187649,dw_espanol,lg5619426
PMArguello,@dw_espanol Si hacemos una encuesta sobre la credibilidad de la OMS seguramente sería muy muy baja.,covid-19,16,2020-08-04 13:19:59,1290638614838353923,dw_espanol,PMArguello
