user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
Melisa94550712	@MariaCespedesc @PCaterianoB @pcmperu #Frepap has returned confidence in politics, its values and actions as d… https://t.co/bdFoeLoxs2	Cuestion-de-confianza	3	2020-08-05 16:31:26	1291049184142012418	1291040818095169536	1291233521856585728,1291227336441057281,1291214073892306946,1291142334114148358,1291087429118693377
MiguelTriveno	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu do not generalize in mine they are not	Cuestion-de-confianza	3	2020-08-06 04:43:56	1291233521856585728	1291049184142012418	1291233521856585728
JairTeddynho	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Yes of course, so much so that they prefer to bind with the government in the midst of a pandemic than to work hand in hand !!	Cuestion-de-confianza	3	2020-08-06 04:19:21	1291227336441057281	1291049184142012418	
JulioCCH3	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Because you don&#39;t join that group and they send you to plant potatoes in the mountains	Cuestion-de-confianza	3	2020-08-06 03:26:39	1291214073892306946	1291049184142012418	
arezcsa	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu OE what are you talking about? A country does not sustain sentimentality, but what else can I tell you if you haven&#39;t even heard what Cateriano said.	Cuestion-de-confianza	3	2020-08-05 22:41:35	1291142334114148358	1291049184142012418	
perteua	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Sincerely #Elcongresoesculpabledetodasnourdesgracias and especially the FREPAP bench that opposes the advancement of our country. We will see to it that they do not return to power.	Cuestion-de-confianza	3	2020-08-05 19:03:25	1291087429118693377	1291049184142012418	
Melisa94550712	@ rociocd19 @MariaCespedesc @PCaterianoB @pcmperu I do not share with you they are consequential and they have said no to one… https://t.co/v06Ce5heCP	Cuestion-de-confianza	3	2020-08-05 16:33:46	1291049768785973255	1291049184142012418	1291078738621403137,1291058421660295170,1291058250880778242
jcchabo	@ Melisa94550712 @ rociocd19 @MariaCespedesc @PCaterianoB @pcmperu people die in espinar ??? .... Do you mean those community members who protest because they want the mining company to give them more royalties and that&#39;s why they protest?	Cuestion-de-confianza	3	2020-08-05 18:28:53	1291078738621403137	1291049768785973255	
rociocd19	@ Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Peru has many problems to solve, but there are priorities, and that priority is the pandemic. The issue of mining can be resolved through other mechanisms. By denying the vote of confidence, they favored, willingly or not, the interests of we already know who.	Cuestion-de-confianza	3	2020-08-05 17:08:09	1291058421660295170	1291049768785973255	
LuisCarlos2801	@ Melisa94550712 @ rociocd19 @MariaCespedesc @PCaterianoB @pcmperu They have put the country in a crisis. If there is no bad intention at least ignorance there is.	Cuestion-de-confianza	3	2020-08-05 17:07:28	1291058250880778242	1291049768785973255	
PERUANOS21	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu We are a believing country for ever and ever. The rel… https://t.co/1gc9TCEhv1	Cuestion-de-confianza	3	2020-08-05 16:26:49	1291048020788875266	1291040818095169536	
kbrothoughts	@ PERUANOS21 @zurditasensible @MariaCespedesc @PCaterianoB @pcmperu In which world do you live? At least in the new generations, religion is very discredited.	Cuestion-de-confianza	3	2020-08-05 20:33:19	1291110054540738560	1291048020788875266	
psecada	@sgarciaasenjo @MariaCespedesc @PCaterianoB @pcmperu FP is trying to wash his face. Keiko has given several decl… https://t.co/3CDkKSRD2V	Cuestion-de-confianza	3	2020-08-05 18:14:38	1291075154710274048	1291040818095169536	1291233937839226880,1291077286859616256
PachecoTuvoz_	@psecada @sgarciaasenjo @MariaCespedesc @PCaterianoB @pcmperu Both parties represent the interests of the country&#39;s large economic groups, a clear example was the denial of the withdrawal of the AFPs	Cuestion-de-confianza	3	2020-08-06 04:45:35	1291233937839226880	1291075154710274048	
sgarciaasenjo	@psecada @MariaCespedesc @PCaterianoB @pcmperu I&#39;m not talking about Fujimorism, I&#39;m talking about the Purple Party.	Cuestion-de-confianza	3	2020-08-05 18:23:06	1291077286859616256	1291075154710274048	
zurditasensible	@MariaCespedesc @PCaterianoB @pcmperu Congratulations! I am from the Left but I applaud the coherence of your Party. Mien… https://t.co/IKDoS7mctI	Cuestion-de-confianza	3	2020-08-05 16:21:23	1291046655983325184	1291040818095169536	1291199517455417346,1291181957603364864,1291181957603364864,1291112928943517697,1291107586255855617,1291101496176779264,1291096822979727361,1291084950205235206,1291071215608659975,1291058020462534656,1291057743936266245,1291055225638400000,1291052093638402049,1291049471594332160,1291049297258205186,1291048020788875266
Kuroageha7	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu Hahaha	Cuestion-de-confianza	3	2020-08-06 02:28:48	1291199517455417346	1291046655983325184	
judio_1969	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu Another tarada	Cuestion-de-confianza	3	2020-08-06 01:19:02	1291181957603364864	1291046655983325184	
urquiagaabogad1	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu Exact! Well said.	Cuestion-de-confianza	3	2020-08-05 20:44:44	1291112928943517697	1291046655983325184	
Jarre_trance	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu FREPAP is in congress for a Meme, if they had 80% of the votes, they would have already converted the Country, into a theocracy,	Cuestion-de-confianza	3	2020-08-05 20:23:30	1291107586255855617	1291046655983325184	
josejuares92	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu If you are from the left, you are the most negative thing that exists for our Peru, with someone like you in power we would end up worse than Venezuela	Cuestion-de-confianza	3	2020-08-05 19:59:18	1291101496176779264	1291046655983325184	
WLefuck	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu Let&#39;s see how they position themselves against the much-needed progressive agenda, you deluded	Cuestion-de-confianza	3	2020-08-05 19:40:44	1291096822979727361	1291046655983325184	
JoselitoB3	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu If I were from the left, I would be envious to see that Frepap has something that neither Marx had: coherence	Cuestion-de-confianza	3	2020-08-05 18:53:33	1291084950205235206	1291046655983325184	
KampoloMartinez	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu hahaha the little fish danced to the rhythm of Jose Luna ... please ... the reds and the FREPAP live in a parallel world	Cuestion-de-confianza	3	2020-08-05 17:58:59	1291071215608659975	1291046655983325184	
Cherito_Peru	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu At no time is FREPAP imposing its religious ideas in the congress. DO NOT BE BRUTE, do not get carried away by the prostituted press or by the trolls of Fernando Tuesta Soldevilla. For these trolls, the only ones who have the right to rob the country is Vizcarra y cia.	Cuestion-de-confianza	3	2020-08-05 17:06:33	1291058020462534656	1291046655983325184	
Wen07147724	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu sii di izquirdi, that&#39;s how you sound, you don&#39;t see that they are as left-handed parasites as you.	Cuestion-de-confianza	3	2020-08-05 17:05:27	1291057743936266245	1291046655983325184	
LucasAl64362521	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu It was already mixed a while ago, religion is just a strategy	Cuestion-de-confianza	3	2020-08-05 16:55:27	1291055225638400000	1291046655983325184	
GaviotadePapel	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu What consistency if 7 of its members are from Lima and charged installation costs. To collect money there is no religion	Cuestion-de-confianza	3	2020-08-05 16:43:00	1291052093638402049	1291046655983325184	
Judycastro2	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu We will see if this is the case with power ... even if it is too late to recognize it.	Cuestion-de-confianza	3	2020-08-05 16:32:35	1291049471594332160	1291046655983325184	
ArturoCuevaMar1	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu You have to respect all creeds and always promote and support the best projects for our country, just that.	Cuestion-de-confianza	3	2020-08-05 16:31:53	1291049297258205186	1291046655983325184	
PERUANOS21	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu We are a believing country for ever and ever. Religion will always be present in our heart, soul, spirit. Pray for the people of Lebanon who have another religion, but no one tells them to take their thoughts away from their political life. Tolerance on the left !?	Cuestion-de-confianza	3	2020-08-05 16:26:49	1291048020788875266	1291046655983325184	
glorialuzuriag1	@MariaCespedesc @meiermq @PCaterianoB @pcmperu Pedro Cateriano is a fanatic extremist of the great groups of economic power and shows an absolute contempt for the life, health and economy of the Peruvian people and for their authentic political representations, the National Federation of Fonavistas and Pensioners of the Peru supports	Cuestion-de-confianza	3	2020-08-06 11:25:40	1291334623075729409	1291040818095169536	
Nellamst28	@MariaCespedesc @PCaterianoB @pcmperu Mrs. PC spoke about responsible mining, reactivation of the economy, quality education, what part did you not understand?	Cuestion-de-confianza	3	2020-08-06 11:07:12	1291329975061221376	1291040818095169536	
Patrici59613287	@MariaCespedesc @FREPAP_FIA @PCaterianoB @pcmperu Mrs. The people need to be legislated against the abuse of banks, sunat, telephone, water, electricity. Health, education ...	Cuestion-de-confianza	3	2020-08-06 11:01:30	1291328538935734272	1291040818095169536	
FrepapPeru	@MariaCespedesc @PCaterianoB @pcmperu Let&#39;s ignore the insults, sister congressman. We can&#39;t waste time when… https://t.co/U3lmYxhxEx	Cuestion-de-confianza	3	2020-08-05 22:11:25	1291134742788739072	1291040818095169536	    1291230704194539520,1291230397397950465,1291220164663562241,1291202437639020547,1291161630802313218
CaceresAdelaNan	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu FREPAP, train your congressmen, that citizens have chosen you for their honesty values, does not mean that they should not demand of themselves to know the democratic management of state institutions.	Cuestion-de-confianza	3	2020-08-06 04:32:44	1291230704194539520	1291134742788739072	
dnielle31	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu Totally agree, no insults! There is much to do, however a dose of reality is not too much. The form is not correct, the substance is. Hopefully at least they try to measure up and prove the opposite, although for now there is nothing like that!	Cuestion-de-confianza	3	2020-08-06 04:31:31	1291230397397950465	1291134742788739072	
cristel_vi	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu Keep going brothers of FREPAP ,,, that here are many scholars on the matter ,,, who voted in the elections like sheep ,,, the tweet holds everything and look at the kind of presidents they gave us ,,, you have been working for years ,,, without having had a political presence ,,, continue🙏🙏🙏	Cuestion-de-confianza	3	2020-08-06 03:50:51	1291220164663562241	1291134742788739072	
SANGREBRAVA1	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu CHANGE YOUR FUJIFREPAP BROTHERS LOGO TO ORANGE	Cuestion-de-confianza	3	2020-08-06 02:40:25	1291202437639020547	1291134742788739072	
cdr_chave	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu Exactly, we shouldn&#39;t waste time on this, they have made a mistake by not giving him confidence. Turn the page and say working for that you get paid	Cuestion-de-confianza	3	2020-08-05 23:58:16	1291161630802313218	1291134742788739072	
YimelZ	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu You see, they are religious. A sect	Cuestion-de-confianza	3	2020-08-05 23:21:35	1291152401995575298	1291134742788739072	
miquelmarin	@FrepapPeru @MariaCespedesc @PCaterianoB @pcmperu That&#39;s right, you must look ahead.	Cuestion-de-confianza	3	2020-08-05 22:22:52	1291137625466732544	1291134742788739072	
